t,temperature,free_energy,internal_energy,entropy,partition_quotient,cache_thermal_index,neuromorphic_energy_ratio,learning_loss,phase_event
185,69.58056150,34.64063825,35.94864922,0.01879851,0.54901664,0.00560226,0.87574474,35.94864922,0.0
186,69.56706783,33.64711546,35.17962323,0.02202921,0.55685991,0.00560341,0.84045849,35.17962323,0.0
187,69.55275781,34.40465399,35.76615227,0.01957504,0.55077293,0.00560463,0.85455866,35.76615227,0.0
188,69.53761878,33.98349223,35.51151651,0.02197407,0.55405919,0.00560579,0.84376980,35.51151651,0.0
189,69.52163826,34.46384042,35.95348743,0.02142710,0.55018240,0.00560714,0.85436953,35.95348743,0.0
190,69.50480393,33.56020516,35.06292984,0.02162044,0.55731513,0.00560845,0.85663253,35.06292984,0.0
191,69.48710366,33.93950938,35.58859435,0.02373225,0.55421307,0.00560982,0.84787604,35.58859435,0.0
192,69.46852552,33.45393091,34.99743384,0.02221874,0.55802764,0.00561138,0.85575875,34.99743384,0.0
193,69.44905774,32.37624072,33.96330581,0.02285222,0.56667798,0.00561301,0.85083568,33.96330581,0.0
194,69.42868879,32.46436718,34.17548526,0.02464569,0.56588175,0.00561472,0.83408474,34.17548526,0.0
195,69.40740732,33.97284648,35.67229266,0.02448508,0.55363635,0.00561639,0.83093089,35.67229266,0.0
196,69.38520217,35.99392249,37.41694741,0.02050905,0.53765822,0.00561825,0.87811386,37.41694741,0.0
197,69.36206243,35.88065888,37.39493682,0.02183150,0.53844371,0.00562007,0.87077730,37.39493682,0.0
198,69.33797739,35.99581176,37.50649300,0.02178721,0.53745365,0.00562208,0.86407210,37.50649300,0.0
199,69.31293655,34.75720994,36.25701910,0.02163823,0.54704151,0.00562406,0.84965710,36.25701910,0.0
200,69.28692966,34.14496332,35.56919353,0.02055554,0.55179293,0.00562601,0.85507753,35.56919353,0.0
201,69.25994670,33.73616849,35.15635977,0.02050523,0.55495287,0.00562826,0.86874202,35.15635977,0.0
202,69.23197787,34.09426742,35.54476388,0.02095125,0.55198118,0.00563037,0.87103888,35.54476388,0.0
203,69.20301363,34.53769533,36.08134004,0.02230603,0.54834256,0.00563268,0.87146792,36.08134004,0.0
